Route_ID,Source,Destination,Distance_km,Travel_Time_h,Congestion,Risk_Score
152,Bangalore,Kolkata,2165,35.05,Medium,0.528
153,Jaipur,Mumbai,2261,32.36,Medium,0.103
154,Bangalore,Surat,899,14.76,High,0.527
155,Mumbai,Bangalore,154,2.74,Medium,0.659
156,Mumbai,Jharkhand,1958,33.05,Medium,0.02
157,Jaipur,Jharkhand,1387,25.7,Low,0.722
158,Bangalore,Chennai,1623,21.15,Low,0.293
159,Delhi,Bangalore,429,8.03,Low,0.027
160,Kolkata,Ahmedabad,1408,21.06,High,0.817
161,Chennai,Delhi,806,10.95,Low,0.624
162,Jaipur,Jharkhand,1176,19.04,High,0.764
163,Bangalore,Mumbai,2206,25.72,Medium,0.425
164,Kolkata,Mumbai,620,8.65,Medium,0.258
165,Jaipur,Surat,2151,38.9,High,0.691
166,Ahmedabad,Surat,2275,41.58,Medium,0.274
167,Mumbai,Jaipur,1501,19.05,Low,0.14
168,Lucknow,Jaipur,830,11.23,Medium,0.665
169,Surat,Mumbai,801,11.32,Low,0.166
170,Mumbai,Chennai,792,10.68,Low,0.389
171,Bangalore,Chennai,1236,15.67,Medium,0.949
172,Surat,Lucknow,857,15.47,Low,0.27
173,Chennai,Kolkata,1862,22.26,High,0.955
174,Delhi,Jharkhand,253,3.67,Low,0.352
175,Mumbai,Jharkhand,160,2.06,Low,0.246
176,Kolkata,Delhi,1352,26.99,High,0.005
177,Kolkata,Jaipur,1140,12.95,Low,0.185
178,Bangalore,Kolkata,1899,25.13,Medium,0.724
179,Jaipur,Lucknow,1212,15.98,Medium,0.052
180,Jharkhand,Surat,500,8.74,Medium,0.915
181,Ahmedabad,Bangalore,236,4.09,Low,0.422
182,Delhi,Ahmedabad,1034,15.16,Medium,0.645
183,Bangalore,Kolkata,2335,33.72,High,0.53
184,Jharkhand,Surat,463,6.35,High,0.538
185,Jaipur,Jharkhand,115,1.71,High,0.418
186,Kolkata,Delhi,350,4.12,Medium,0.939
187,Kolkata,Bangalore,913,14.26,Medium,0.402
188,Ahmedabad,Jharkhand,371,4.37,High,0.768
189,Lucknow,Surat,439,5.52,Low,0.11
190,Bangalore,Delhi,2471,31.43,Medium,0.277
191,Ahmedabad,Jharkhand,498,7.62,Medium,0.218
192,Jharkhand,Ahmedabad,2208,36.58,Medium,0.982
193,Bangalore,Delhi,871,14.7,High,0.65
194,Ahmedabad,Kolkata,1489,25.14,Low,0.22
195,Mumbai,Chennai,2011,31.42,Low,0.969
196,Mumbai,Jharkhand,1143,12.73,Low,0.396
197,Delhi,Kolkata,2209,24.58,High,0.463
198,Bangalore,Jharkhand,2476,28.86,High,0.457
199,Bangalore,Kolkata,1087,15.74,Low,0.852
200,Jharkhand,Lucknow,1586,20.81,Medium,0.087
201,Bangalore,Jaipur,2475,31.8,Low,0.533
202,Ahmedabad,Jaipur,1072,12.75,Low,0.481
203,Kolkata,Chennai,1691,22.11,Medium,0.864
204,Mumbai,Surat,315,3.85,Medium,0.851
205,Lucknow,Jharkhand,1816,23.52,Medium,0.753
206,Surat,Ahmedabad,656,7.73,Low,0.826
207,Jharkhand,Ahmedabad,1674,29.66,High,0.832
208,Surat,Delhi,1347,25.24,Low,0.56
209,Bangalore,Delhi,799,15.86,High,0.128
210,Kolkata,Bangalore,685,10.18,High,0.392
211,Ahmedabad,Surat,1319,23.16,Medium,0.947
212,Mumbai,Surat,985,15.43,Medium,0.046
213,Delhi,Ahmedabad,862,15.61,Medium,0.025
214,Mumbai,Surat,2226,26.9,Low,0.001
215,Delhi,Kolkata,615,9.17,Low,0.164
216,Surat,Chennai,1923,36.08,Medium,0.655
217,Kolkata,Mumbai,1088,12.4,Low,0.639
218,Jaipur,Kolkata,2076,30.67,Low,0.321
219,Jaipur,Delhi,2080,35.85,High,0.715
220,Delhi,Lucknow,1183,20.6,High,0.777
221,Delhi,Ahmedabad,2346,31.26,Low,0.033
222,Jharkhand,Kolkata,626,9.04,Low,0.125
223,Chennai,Ahmedabad,620,10.69,Low,0.064
224,Jaipur,Ahmedabad,216,2.93,Low,0.984
225,Mumbai,Lucknow,373,4.83,Low,0.975
226,Jaipur,Jharkhand,2143,26.39,Low,0.481
227,Bangalore,Jharkhand,1795,35.38,Low,0.21
228,Mumbai,Lucknow,2051,23.4,Low,0.534
229,Lucknow,Mumbai,2263,35.19,Low,0.977
230,Jharkhand,Delhi,242,4.17,Low,0.105
231,Kolkata,Surat,2156,24.65,Low,0.541
232,Delhi,Lucknow,1813,24.17,Medium,0.612
233,Surat,Chennai,307,4.27,High,0.452
234,Kolkata,Jharkhand,973,14.41,Medium,0.593
235,Lucknow,Kolkata,2269,35.92,Low,0.744
236,Surat,Ahmedabad,794,15.34,Low,0.021
237,Kolkata,Surat,648,7.21,High,0.65
238,Jharkhand,Kolkata,134,2.28,Low,0.204
239,Surat,Mumbai,1848,23.37,Medium,0.425
240,Chennai,Ahmedabad,1055,20.44,High,0.579
241,Chennai,Jaipur,1635,22.02,Medium,0.793
242,Surat,Kolkata,1494,24.35,Low,0.384
243,Delhi,Lucknow,2168,27.33,Low,0.716
244,Surat,Delhi,474,7.13,Low,0.437
245,Jaipur,Lucknow,2378,36.94,Medium,0.164
246,Lucknow,Jharkhand,127,2.11,Medium,0.325
247,Bangalore,Lucknow,400,6.72,Low,0.884
248,Jaipur,Jharkhand,1380,20.3,Medium,0.949
249,Lucknow,Jaipur,2103,32.27,Medium,0.357
250,Ahmedabad,Mumbai,1755,21.34,Medium,0.868
251,Chennai,Delhi,2481,47.45,Medium,0.937
252,Mumbai,Bangalore,1158,17.01,High,0.316
253,Mumbai,Chennai,1329,17.14,Low,0.48
254,Delhi,Jharkhand,1308,17.87,Low,0.522
255,Surat,Jaipur,2298,44.88,Low,0.705
256,Jharkhand,Surat,2133,37.07,Medium,0.156
257,Jaipur,Ahmedabad,1618,28.34,Medium,0.838
258,Jharkhand,Delhi,402,5.52,Low,0.931
259,Chennai,Mumbai,1410,18.47,Low,0.651
260,Jharkhand,Delhi,1109,14.95,Low,0.866
261,Lucknow,Jharkhand,588,10.82,Medium,0.765
262,Chennai,Surat,118,1.43,Medium,0.798
263,Kolkata,Mumbai,1467,23.71,Medium,0.328
264,Mumbai,Bangalore,2290,29.43,Low,0.449
265,Mumbai,Delhi,2438,41.26,Low,0.603
266,Jharkhand,Delhi,1126,15.71,High,0.847
267,Ahmedabad,Jharkhand,111,1.98,Medium,0.246
268,Chennai,Bangalore,1449,18.14,Medium,0.521
269,Ahmedabad,Bangalore,1114,12.97,Low,0.955
270,Chennai,Kolkata,423,4.84,Low,0.101
271,Chennai,Jaipur,1792,21.82,Medium,0.311
272,Chennai,Delhi,101,1.66,Low,0.122
273,Surat,Bangalore,2306,29.43,Low,0.567
274,Jharkhand,Bangalore,135,2.02,Low,0.816
275,Bangalore,Surat,1400,16.4,Low,0.212
276,Jharkhand,Bangalore,1756,21.01,High,0.353
277,Jharkhand,Ahmedabad,1703,27.92,High,0.424
278,Jharkhand,Lucknow,245,3.04,Low,0.424
279,Ahmedabad,Mumbai,582,6.87,Low,0.535
280,Jaipur,Ahmedabad,1087,18.66,Medium,0.257
281,Lucknow,Jharkhand,869,14.25,Medium,0.676
282,Jharkhand,Jaipur,1098,17.25,High,0.603
283,Jaipur,Bangalore,1105,18.24,Medium,0.596
284,Lucknow,Bangalore,1476,24.99,Low,0.069
285,Mumbai,Kolkata,1055,12.86,Low,0.54
286,Jaipur,Lucknow,1685,21.82,Low,0.457
287,Jaipur,Surat,1253,13.96,Medium,0.558
288,Delhi,Bangalore,1921,30.33,Medium,0.089
289,Ahmedabad,Jharkhand,410,5.74,Low,0.45
290,Mumbai,Lucknow,1779,27.24,Low,0.974
291,Jaipur,Ahmedabad,2103,24.15,Medium,0.842
292,Ahmedabad,Chennai,555,6.92,Low,0.826
293,Jaipur,Chennai,580,9.81,Low,0.381
294,Delhi,Jharkhand,1966,23.68,Low,0.942
295,Delhi,Bangalore,361,4.16,Low,0.992
296,Ahmedabad,Chennai,589,8.41,Low,0.54
297,Kolkata,Lucknow,1793,22.74,Low,0.212
298,Lucknow,Ahmedabad,229,3.89,High,0.573
299,Jharkhand,Lucknow,2085,37.7,High,0.923
300,Mumbai,Surat,337,5.91,Medium,0.399
